Cells:	2 receptors:	0.5 births:	0 deaths:	0
Cells:	4 receptors:	0.75 births:	0 deaths:	0
Cells:	8 receptors:	0.875 births:	0 deaths:	0
Cells:	14 receptors:	1.0 births:	0 deaths:	1
Cells:	28 receptors:	1.0357143 births:	0 deaths:	0
Cells:	48 receptors:	1.0833334 births:	0 deaths:	0
Cells:	74 receptors:	1.1081082 births:	0 deaths:	0
Cells:	105 receptors:	1.0952381 births:	0 deaths:	0
Cells:	144 receptors:	1.0972222 births:	0 deaths:	1
Cells:	193 receptors:	1.0984457 births:	0 deaths:	2
Cells:	242 receptors:	1.0991735 births:	0 deaths:	1
Cells:	296 receptors:	1.1182432 births:	0 deaths:	1
Cells:	360 receptors:	1.1194445 births:	0 deaths:	1
Cells:	428 receptors:	1.135514 births:	0 deaths:	4
Cells:	502 receptors:	1.1454183 births:	0 deaths:	2
Cells:	579 receptors:	1.1485319 births:	0 deaths:	8
Cells:	671 receptors:	1.1445603 births:	0 deaths:	4
Cells:	769 receptors:	1.1482445 births:	0 deaths:	4
Cells:	870 receptors:	1.1540229 births:	0 deaths:	5
Cells:	980 receptors:	1.1653061 births:	0 deaths:	10
Cells:	1096 receptors:	1.1715329 births:	0 deaths:	11
Cells:	1214 receptors:	1.1836903 births:	0 deaths:	12
Cells:	1338 receptors:	1.186846 births:	0 deaths:	14
Cells:	1473 receptors:	1.1934826 births:	0 deaths:	19
Cells:	1614 receptors:	1.2007434 births:	0 deaths:	12
Cells:	1759 receptors:	1.2092098 births:	0 deaths:	21
Cells:	1911 receptors:	1.2140241 births:	0 deaths:	17
Cells:	2070 receptors:	1.2246376 births:	0 deaths:	20
Cells:	2234 receptors:	1.2305282 births:	0 deaths:	16
Cells:	2403 receptors:	1.2409488 births:	0 deaths:	20
Cells:	2582 receptors:	1.2474825 births:	0 deaths:	29
Cells:	2770 receptors:	1.2559566 births:	0 deaths:	31
Cells:	2958 receptors:	1.2640297 births:	0 deaths:	25
Cells:	3149 receptors:	1.2651635 births:	0 deaths:	24
Cells:	3353 receptors:	1.2794513 births:	0 deaths:	32
Cells:	3565 receptors:	1.2908835 births:	0 deaths:	35
